id,Acquisition Time,Acquisition Start Time,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Speed,GPS Heading,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Predeployment Data,Error,bout
blanca,,2019.06.19 09:43:00,,Failed,,,,,,,,,,,0x00000000,0,20,,No,,1
blanca,2019.06.19 09:45:00,2019.06.19 09:40:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 09:50:00,2019.06.19 09:45:00,,,,,,,,,,,,,,,,0,No,,1
blanca,,2019.06.19 09:50:00,,Failed,,,,,,,,,,,0x00000000,0,20,,No,,1
blanca,2019.06.19 09:55:00,2019.06.19 09:50:00,,,,,,,,,,,,,,,,0,No,,1
blanca,,2019.06.19 09:57:00,,Failed,,,,,,,,,,,0x00000000,0,20,,No,,1
blanca,2019.06.19 10:00:00,2019.06.19 09:55:00,,,,,,,,,,,,,,,,3,No,,1
blanca,2019.06.19 10:05:00,2019.06.19 10:00:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 10:10:00,2019.06.19 10:05:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 10:15:00,2019.06.19 10:10:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 10:20:00,2019.06.19 10:15:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 10:25:00,2019.06.19 10:20:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 10:30:00,2019.06.19 10:25:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 10:35:00,2019.06.19 10:30:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 10:40:00,2019.06.19 10:35:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 10:45:00,2019.06.19 10:40:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 10:50:00,2019.06.19 10:45:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 10:55:00,2019.06.19 10:50:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:00:00,2019.06.19 10:55:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:05:00,2019.06.19 11:00:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:10:00,2019.06.19 11:05:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:15:00,2019.06.19 11:10:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:20:00,2019.06.19 11:15:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:25:00,2019.06.19 11:20:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:30:00,2019.06.19 11:25:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:35:00,2019.06.19 11:30:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:40:00,2019.06.19 11:35:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:45:00,2019.06.19 11:40:00,,,,,,,,,,,,,,,,0,No,,1
blanca,2019.06.19 11:50:00,2019.06.19 11:45:00,,,,,,,,,,,,,,,,1,No,,1
blanca,2019.06.19 11:55:00,2019.06.19 11:50:00,,,,,,,,,,,,,,,,0,No,,1
