id,Acquisition Time,Acquisition Start Time,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Speed,GPS Heading,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Predeployment Data,Error,bout
emanuel,2019.05.18 17:40:00,2019.05.18 17:35:00,,,,,,,,,,,,,,,,226,No,,4
emanuel,2019.05.18 17:45:00,2019.05.18 17:40:00,,,,,,,,,,,,,,,,196,No,,4
emanuel,2019.05.18 17:50:00,2019.05.18 17:45:00,,,,,,,,,,,,,,,,187,No,,4
emanuel,2019.05.18 17:55:00,2019.05.18 17:50:00,,,,,,,,,,,,,,,,179,No,,4
emanuel,2019.05.18 18:00:00,2019.05.18 17:55:00,,,,,,,,,,,,,,,,159,No,,4
emanuel,2019.05.18 18:05:00,2019.05.18 18:00:00,,,,,,,,,,,,,,,,182,No,,4
emanuel,2019.05.18 18:10:00,2019.05.18 18:05:00,,,,,,,,,,,,,,,,187,No,,4
emanuel,2019.05.18 18:15:00,2019.05.18 18:10:00,,,,,,,,,,,,,,,,191,No,,4
emanuel,2019.05.18 18:20:00,2019.05.18 18:15:00,,,,,,,,,,,,,,,,149,No,,4
emanuel,2019.05.18 18:25:00,2019.05.18 18:20:00,,,,,,,,,,,,,,,,96,No,,4
emanuel,2019.05.18 18:30:00,2019.05.18 18:25:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 18:35:00,2019.05.18 18:30:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 18:40:00,2019.05.18 18:35:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 18:45:00,2019.05.18 18:40:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 18:50:00,2019.05.18 18:45:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 18:55:00,2019.05.18 18:50:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:00:00,2019.05.18 18:55:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:05:00,2019.05.18 19:00:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:10:00,2019.05.18 19:05:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:15:00,2019.05.18 19:10:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:20:00,2019.05.18 19:15:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:25:00,2019.05.18 19:20:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:30:00,2019.05.18 19:25:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:35:00,2019.05.18 19:30:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:40:00,2019.05.18 19:35:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:45:00,2019.05.18 19:40:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:50:00,2019.05.18 19:45:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 19:55:00,2019.05.18 19:50:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 20:00:00,2019.05.18 19:55:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 20:05:00,2019.05.18 20:00:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 20:10:00,2019.05.18 20:05:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 20:15:00,2019.05.18 20:10:00,,,,,,,,,,,,,,,,0,No,,4
emanuel,2019.05.18 20:20:00,2019.05.18 20:15:00,,,,,,,,,,,,,,,,0,No,,4
