"id","GPS.Fix.Time","GPS.UTM.Northing","GPS.UTM.Easting"
"blanca","2019.06.23 22:52:26",7874785,625938
"blanca","2019.06.23 22:59:48",7874773,625944
"blanca","2019.06.23 23:06:22",7874778,625946
"blanca","2019.06.23 23:13:17",7874740,625947
"blanca","2019.06.23 23:20:21",7874744,625960
"blanca","2019.06.23 23:28:04",7874781,625982
"blanca","2019.06.23 23:34:44",7874800,625985
"blanca","2019.06.23 23:41:34",7874810,625974
"blanca","2019.06.23 23:48:36",7874826,625979
"blanca","2019.06.23 23:55:49",7874827,625977
"blanca","2019.06.24 00:02:19",7874849,625975
"blanca","2019.06.24 00:09:22",7874835,625956
"blanca","2019.06.24 00:16:25",7874755,625939
"blanca","2019.06.24 00:23:24",7874761,625894
"blanca","2019.06.24 00:31:03",7874794,625891
"blanca","2019.06.25 22:31:34",7874790,625877
"blanca","2019.06.25 22:38:16",7874750,625954
"blanca","2019.06.25 22:45:56",7874797,625950
"blanca","2019.06.25 22:52:21",7874827,626021
"blanca","2019.06.25 22:59:26",7874833,626018
"blanca","2019.06.25 23:06:37",7874852,626012
"blanca","2019.06.25 23:13:23",7874848,626018
"blanca","2019.06.25 23:20:52",7874873,625994
"blanca","2019.06.25 23:27:22",7874879,626016
"blanca","2019.06.25 23:34:12",7874975,625955
"blanca","2019.06.25 23:41:24",7874868,626042
"blanca","2019.06.25 23:48:21",7874871,626020
"blanca","2019.06.25 23:55:13",7874921,626006
"blanca","2019.06.26 00:02:14",7874936,625967
"blanca","2019.06.26 00:09:16",7874913,625974
"blanca","2019.06.26 00:16:20",7874858,625978
"blanca","2019.06.26 00:23:21",7874806,625937
"blanca","2019.06.26 22:52:44",7874880,625928
"blanca","2019.06.26 22:59:22",7874763,625890
"blanca","2019.06.26 23:06:19",7874743,625808
"blanca","2019.06.26 23:13:37",7874739,625795
"blanca","2019.06.26 23:27:34",7874755,625810
"blanca","2019.06.26 23:35:00",7874743,625799
"blanca","2019.06.26 23:41:24",7874744,625807
"blanca","2019.06.26 23:49:04",7874733,625765
"blanca","2019.06.26 23:56:01",7874733,625724
"blanca","2019.06.27 00:02:36",7874722,625708
"blanca","2019.06.27 00:09:26",7874725,625680
"blanca","2019.06.27 00:16:21",7874718,625695
"blanca","2019.06.27 00:24:04",7874713,625705
"blanca","2019.06.27 00:30:08",7874726,625732
"blanca","2019.06.27 00:37:17",7874776,625778
"blanca","2019.06.27 00:44:15",7874773,625800
"blanca","2019.06.27 00:51:30",7874756,625780
"blanca","2019.06.27 00:59:02",7874663,625858
"blanca","2019.06.27 01:06:04",7874727,625899
"blanca","2019.06.27 01:19:15",7874730,625930
"blanca","2019.06.27 01:26:52",7874768,625911
"blanca","2019.06.27 01:33:19",7874793,625877
"blanca","2019.06.27 22:24:42",7874790,625907
"blanca","2019.06.27 22:31:19",7874834,625977
"blanca","2019.06.27 22:38:18",7874857,625968
"blanca","2019.06.27 22:45:27",7874843,626017
"blanca","2019.06.27 22:52:48",7874838,626040
"blanca","2019.06.27 23:06:31",7874808,626063
"blanca","2019.06.27 23:13:22",7874850,626072
