"id","sl.cat","ta.cat","act.cat","northing","easting","date_time"
"blanca",1,9,NA,7874778,625946,1561331182
"blanca",1,1,NA,7874740,625947,1561331597
"blanca",1,8,1,7874744,625960,1561332021
"blanca",1,7,NA,7874781,625982,1561332484
"blanca",1,6,3,7874800,625985,1561332884
"blanca",1,7,NA,7874810,625974,1561333294
"blanca",1,4,NA,7874826,625979,1561333716
"blanca",1,8,3,7874827,625977,1561334149
"blanca",1,4,NA,7874849,625975,1561334539
"blanca",1,9,3,7874835,625956,1561334962
"blanca",2,7,NA,7874755,625939,1561335385
"blanca",1,3,NA,7874761,625894,1561335804
"blanca",1,3,NA,7874794,625891,1561336263
"blanca",2,NA,NA,7874750,625954,1561502296
"blanca",1,9,2,7874797,625950,1561502756
"blanca",2,4,NA,7874827,626021,1561503141
"blanca",1,8,2,7874833,626018,1561503566
"blanca",1,5,NA,7874852,626012,1561503997
"blanca",1,2,NA,7874848,626018,1561504403
"blanca",1,10,2,7874873,625994,1561504852
"blanca",1,2,NA,7874879,626016,1561505242
"blanca",2,8,4,7874975,625955,1561505652
"blanca",2,1,NA,7874868,626042,1561506084
"blanca",1,2,NA,7874871,626020,1561506501
"blanca",1,4,3,7874921,626006,1561506913
"blanca",1,7,NA,7874936,625967,1561507334
"blanca",1,9,2,7874913,625974,1561507756
"blanca",1,5,NA,7874858,625978,1561508180
"blanca",1,4,NA,7874806,625937,1561508601
"blanca",2,NA,1,7874763,625890,1561589962
"blanca",2,4,NA,7874743,625808,1561590379
"blanca",1,6,NA,7874739,625795,1561590817
"blanca",1,NA,3,7874743,625799,1561592100
"blanca",1,9,NA,7874744,625807,1561592484
"blanca",1,1,2,7874733,625765,1561592944
"blanca",1,5,NA,7874733,625724,1561593361
"blanca",1,6,NA,7874722,625708,1561593756
"blanca",1,4,2,7874725,625680,1561594166
"blanca",1,10,NA,7874718,625695,1561594581
"blanca",1,5,3,7874713,625705,1561595044
"blanca",1,7,3,7874726,625732,1561595408
"blanca",1,6,NA,7874776,625778,1561595837
"blanca",1,4,3,7874773,625800,1561596255
"blanca",1,2,NA,7874756,625780,1561596690
"blanca",2,8,5,7874663,625858,1561597142
"blanca",2,8,NA,7874727,625899,1561597564
