id,Acquisition Time,Acquisition Start Time,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Speed,GPS Heading,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Predeployment Data,Error,bout
gala,2019.07.18 15:35:00,2019.07.18 15:30:00,,,,,,,,,,,,,,,,6,No,,1
gala,2019.07.18 15:40:00,2019.07.18 15:35:00,,,,,,,,,,,,,,,,1,No,,1
gala,2019.07.18 15:45:00,2019.07.18 15:40:00,,,,,,,,,,,,,,,,9,No,,1
gala,2019.07.18 15:50:00,2019.07.18 15:45:00,,,,,,,,,,,,,,,,17,No,,1
gala,2019.07.18 15:55:00,2019.07.18 15:50:00,,,,,,,,,,,,,,,,37,No,,1
gala,2019.07.18 16:00:00,2019.07.18 15:55:00,,,,,,,,,,,,,,,,7,No,,1
gala,2019.07.18 16:05:00,2019.07.18 16:00:00,,,,,,,,,,,,,,,,12,No,,1
gala,2019.07.18 16:10:00,2019.07.18 16:05:00,,,,,,,,,,,,,,,,11,No,,1
gala,2019.07.18 16:15:00,2019.07.18 16:10:00,,,,,,,,,,,,,,,,32,No,,1
gala,2019.07.18 16:20:00,2019.07.18 16:15:00,,,,,,,,,,,,,,,,91,No,,1
gala,2019.07.18 16:25:00,2019.07.18 16:20:00,,,,,,,,,,,,,,,,3,No,,1
gala,2019.07.18 16:30:00,2019.07.18 16:25:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 16:35:00,2019.07.18 16:30:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 16:40:00,2019.07.18 16:35:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 16:45:00,2019.07.18 16:40:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 16:50:00,2019.07.18 16:45:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 16:55:00,2019.07.18 16:50:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:00:00,2019.07.18 16:55:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:05:00,2019.07.18 17:00:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:10:00,2019.07.18 17:05:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:15:00,2019.07.18 17:10:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:20:00,2019.07.18 17:15:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:25:00,2019.07.18 17:20:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:30:00,2019.07.18 17:25:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:35:00,2019.07.18 17:30:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:40:00,2019.07.18 17:35:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:45:00,2019.07.18 17:40:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:50:00,2019.07.18 17:45:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 17:55:00,2019.07.18 17:50:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 18:00:00,2019.07.18 17:55:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 18:05:00,2019.07.18 18:00:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 18:10:00,2019.07.18 18:05:00,,,,,,,,,,,,,,,,6,No,,1
gala,2019.07.18 18:15:00,2019.07.18 18:10:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 18:20:00,2019.07.18 18:15:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 18:25:00,2019.07.18 18:20:00,,,,,,,,,,,,,,,,3,No,,1
gala,2019.07.18 18:30:00,2019.07.18 18:25:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 18:35:00,2019.07.18 18:30:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 18:40:00,2019.07.18 18:35:00,,,,,,,,,,,,,,,,4,No,,1
gala,2019.07.18 18:45:00,2019.07.18 18:40:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 18:50:00,2019.07.18 18:45:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 18:55:00,2019.07.18 18:50:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 19:00:00,2019.07.18 18:55:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 19:05:00,2019.07.18 19:00:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 19:10:00,2019.07.18 19:05:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 19:15:00,2019.07.18 19:10:00,,,,,,,,,,,,,,,,1,No,,1
gala,2019.07.18 19:20:00,2019.07.18 19:15:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 19:25:00,2019.07.18 19:20:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 19:30:00,2019.07.18 19:25:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 19:35:00,2019.07.18 19:30:00,,,,,,,,,,,,,,,,1,No,,1
gala,2019.07.18 19:40:00,2019.07.18 19:35:00,,,,,,,,,,,,,,,,1,No,,1
gala,2019.07.18 19:45:00,2019.07.18 19:40:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 19:50:00,2019.07.18 19:45:00,,,,,,,,,,,,,,,,2,No,,1
gala,2019.07.18 19:55:00,2019.07.18 19:50:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:00:00,2019.07.18 19:55:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:05:00,2019.07.18 20:00:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:10:00,2019.07.18 20:05:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:15:00,2019.07.18 20:10:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:20:00,2019.07.18 20:15:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:25:00,2019.07.18 20:20:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:30:00,2019.07.18 20:25:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:35:00,2019.07.18 20:30:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:40:00,2019.07.18 20:35:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:45:00,2019.07.18 20:40:00,,,,,,,,,,,,,,,,3,No,,1
gala,2019.07.18 20:50:00,2019.07.18 20:45:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 20:55:00,2019.07.18 20:50:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 21:00:00,2019.07.18 20:55:00,,,,,,,,,,,,,,,,0,No,,1
gala,,2019.07.18 21:00:00,,Failed,,,,,,,,,,,0x00000000,0,20,,No,,1
gala,2019.07.18 21:05:00,2019.07.18 21:00:00,,,,,,,,,,,,,,,,0,No,,1
gala,,2019.07.18 21:07:00,,Failed,,,,,,,,,,,0x00010020,2,60,,No,,1
gala,2019.07.18 21:10:00,2019.07.18 21:05:00,,,,,,,,,,,,,,,,0,No,,1
gala,,2019.07.18 21:14:00,,Failed,,,,,,,,,,,0x00040022,3,60,,No,,1
gala,2019.07.18 21:15:00,2019.07.18 21:10:00,,,,,,,,,,,,,,,,0,No,,1
gala,2019.07.18 21:20:00,2019.07.18 21:15:00,,,,,,,,,,,,,,,,4,No,,1
