"id","sl2","ta2","act.count","northing","easting","date","act.cat","sl.cat","ta.cat","z.map","z.post.thresh","z.post.max"
"blanca",0.820075858954492,2.29743866747662,NA,7874778,625946,2019-06-23 19:06:22,NA,1,9,"Slow-Unif","Unclassified","Slow-Unif"
"blanca",5.49587792060189,-2.73477655922451,NA,7874740,625947,2019-06-23 19:13:17,NA,1,1,"Slow-Turn","Slow-Turn","Slow-Turn"
"blanca",1.92473639274557,1.84298554112815,46,7874744,625960,2019-06-23 19:20:21,1,1,8,"Slow-Unif","Slow-Unif","Slow-Unif"
"blanca",5.5783783801376,0.735861937603986,NA,7874781,625982,2019-06-23 19:28:04,NA,1,7,"Slow-Unif","Slow-Unif","Slow-Unif"
"blanca",2.88530760925069,0.379833580622716,104,7874800,625985,2019-06-23 19:34:44,3,1,6,"Slow-Unif","Slow-Unif","Slow-Unif"
"blanca",2.17552225570515,0.989583143656447,NA,7874810,625974,2019-06-23 19:41:34,NA,1,7,"Slow-Turn","Slow-Unif","Slow-Unif"
"blanca",2.3833726939678,-1.1358661350494,NA,7874826,625979,2019-06-23 19:48:36,NA,1,4,"Slow-Unif","Slow-Unif","Slow-Unif"
"blanca",0.30984775669743,1.41003358616906,102,7874827,625977,2019-06-23 19:55:49,3,1,8,"Slow-Unif","Slow-Unif","Slow-Unif"
"blanca",3.398572620673,-1.01648883059335,NA,7874849,625975,2019-06-23 20:02:19,NA,1,4,"Slow-Unif","Slow-Unif","Slow-Unif"
"blanca",3.34763793509389,2.11516317498447,141,7874835,625956,2019-06-23 20:09:22,3,1,9,"Slow-Unif","Unclassified","Slow-Unif"
"blanca",11.6008945989176,0.726384198451087,NA,7874755,625939,2019-06-23 20:16:25,NA,2,7,"Exploratory","Exploratory","Exploratory"
"blanca",6.50094098108803,-1.49396246613807,NA,7874761,625894,2019-06-23 20:23:24,NA,1,3,"Slow-Unif","Slow-Unif","Slow-Unif"
"blanca",4.33151412438716,-1.34758490729748,NA,7874794,625891,2019-06-23 20:31:03,NA,1,3,"Slow-Unif","Slow-Unif","Slow-Unif"
"blanca",12.9507179728568,NA,NA,7874750,625954,2019-06-25 18:38:16,NA,2,NA,"Exploratory","Exploratory","Exploratory"
