id,Acquisition Time,Acquisition Start Time,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Speed,GPS Heading,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Predeployment Data,Error,bout
mafalda,2019.05.24 16:10:00,2019.05.24 16:05:00,,,,,,,,,,,,,,,,42,No,,4
mafalda,2019.05.24 16:15:00,2019.05.24 16:10:00,,,,,,,,,,,,,,,,1,No,,4
mafalda,2019.05.24 16:20:00,2019.05.24 16:15:00,,,,,,,,,,,,,,,,12,No,,4
mafalda,2019.05.24 16:25:00,2019.05.24 16:20:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 16:30:00,2019.05.24 16:25:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 16:35:00,2019.05.24 16:30:00,,,,,,,,,,,,,,,,20,No,,4
mafalda,2019.05.24 16:40:00,2019.05.24 16:35:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 16:45:00,2019.05.24 16:40:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 16:50:00,2019.05.24 16:45:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 16:55:00,2019.05.24 16:50:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 17:00:00,2019.05.24 16:55:00,,,,,,,,,,,,,,,,9,No,,4
mafalda,2019.05.24 17:05:00,2019.05.24 17:00:00,,,,,,,,,,,,,,,,4,No,,4
mafalda,2019.05.24 17:10:00,2019.05.24 17:05:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 17:15:00,2019.05.24 17:10:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 17:20:00,2019.05.24 17:15:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 17:25:00,2019.05.24 17:20:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 17:30:00,2019.05.24 17:25:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 17:35:00,2019.05.24 17:30:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 17:40:00,2019.05.24 17:35:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 17:45:00,2019.05.24 17:40:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 17:50:00,2019.05.24 17:45:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 17:55:00,2019.05.24 17:50:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 18:00:00,2019.05.24 17:55:00,,,,,,,,,,,,,,,,1,No,,4
mafalda,2019.05.24 18:05:00,2019.05.24 18:00:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 18:10:00,2019.05.24 18:05:00,,,,,,,,,,,,,,,,2,No,,4
mafalda,2019.05.24 18:15:00,2019.05.24 18:10:00,,,,,,,,,,,,,,,,12,No,,4
mafalda,2019.05.24 18:20:00,2019.05.24 18:15:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 18:25:00,2019.05.24 18:20:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 18:30:00,2019.05.24 18:25:00,,,,,,,,,,,,,,,,3,No,,4
mafalda,2019.05.24 18:35:00,2019.05.24 18:30:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 18:40:00,2019.05.24 18:35:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 18:45:00,2019.05.24 18:40:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 18:50:00,2019.05.24 18:45:00,,,,,,,,,,,,,,,,5,No,,4
mafalda,2019.05.24 18:55:00,2019.05.24 18:50:00,,,,,,,,,,,,,,,,2,No,,4
mafalda,2019.05.24 19:00:00,2019.05.24 18:55:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 19:05:00,2019.05.24 19:00:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 19:10:00,2019.05.24 19:05:00,,,,,,,,,,,,,,,,1,No,,4
mafalda,2019.05.24 19:15:00,2019.05.24 19:10:00,,,,,,,,,,,,,,,,2,No,,4
mafalda,2019.05.24 19:20:00,2019.05.24 19:15:00,,,,,,,,,,,,,,,,1,No,,4
mafalda,2019.05.24 19:25:00,2019.05.24 19:20:00,,,,,,,,,,,,,,,,16,No,,4
mafalda,2019.05.24 19:30:00,2019.05.24 19:25:00,,,,,,,,,,,,,,,,13,No,,4
mafalda,2019.05.24 19:35:00,2019.05.24 19:30:00,,,,,,,,,,,,,,,,6,No,,4
mafalda,2019.05.24 19:40:00,2019.05.24 19:35:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 19:45:00,2019.05.24 19:40:00,,,,,,,,,,,,,,,,1,No,,4
mafalda,2019.05.24 19:50:00,2019.05.24 19:45:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 19:55:00,2019.05.24 19:50:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 20:00:00,2019.05.24 19:55:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 20:05:00,2019.05.24 20:00:00,,,,,,,,,,,,,,,,2,No,,4
mafalda,2019.05.24 20:10:00,2019.05.24 20:05:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 20:15:00,2019.05.24 20:10:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 20:20:00,2019.05.24 20:15:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 20:25:00,2019.05.24 20:20:00,,,,,,,,,,,,,,,,4,No,,4
mafalda,2019.05.24 20:30:00,2019.05.24 20:25:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 20:35:00,2019.05.24 20:30:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 20:40:00,2019.05.24 20:35:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 20:45:00,2019.05.24 20:40:00,,,,,,,,,,,,,,,,10,No,,4
mafalda,2019.05.24 20:50:00,2019.05.24 20:45:00,,,,,,,,,,,,,,,,9,No,,4
mafalda,2019.05.24 20:55:00,2019.05.24 20:50:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,2019.05.24 21:00:00,2019.05.24 20:55:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,,2019.05.24 21:00:00,,Failed,,,,,,,,,,,0x00000000,0,20,,No,,4
mafalda,2019.05.24 21:05:00,2019.05.24 21:00:00,,,,,,,,,,,,,,,,0,No,,4
mafalda,,2019.05.24 21:07:00,,Failed,,,,,,,,,,,0x00000000,0,20,,No,,4
