id,Acquisition Time,Acquisition Start Time,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Speed,GPS Heading,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Predeployment Data,Error,bout
mazeboti,2019.06.23 15:05:00,2019.06.23 15:00:00,,,,,,,,,,,,,,,,14,No,,1
mazeboti,2019.06.23 15:10:00,2019.06.23 15:05:00,,,,,,,,,,,,,,,,6,No,,1
mazeboti,2019.06.23 15:15:00,2019.06.23 15:10:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 15:20:00,2019.06.23 15:15:00,,,,,,,,,,,,,,,,49,No,,1
mazeboti,2019.06.23 15:25:00,2019.06.23 15:20:00,,,,,,,,,,,,,,,,48,No,,1
mazeboti,2019.06.23 15:30:00,2019.06.23 15:25:00,,,,,,,,,,,,,,,,1,No,,1
mazeboti,2019.06.23 15:35:00,2019.06.23 15:30:00,,,,,,,,,,,,,,,,126,No,,1
mazeboti,2019.06.23 15:40:00,2019.06.23 15:35:00,,,,,,,,,,,,,,,,112,No,,1
mazeboti,2019.06.23 15:45:00,2019.06.23 15:40:00,,,,,,,,,,,,,,,,75,No,,1
mazeboti,2019.06.23 15:50:00,2019.06.23 15:45:00,,,,,,,,,,,,,,,,139,No,,1
mazeboti,2019.06.23 15:55:00,2019.06.23 15:50:00,,,,,,,,,,,,,,,,119,No,,1
mazeboti,2019.06.23 16:00:00,2019.06.23 15:55:00,,,,,,,,,,,,,,,,5,No,,1
mazeboti,2019.06.23 16:05:00,2019.06.23 16:00:00,,,,,,,,,,,,,,,,1,No,,1
mazeboti,2019.06.23 16:10:00,2019.06.23 16:05:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 16:15:00,2019.06.23 16:10:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 16:20:00,2019.06.23 16:15:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 16:25:00,2019.06.23 16:20:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 16:30:00,2019.06.23 16:25:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 16:35:00,2019.06.23 16:30:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 16:40:00,2019.06.23 16:35:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 16:45:00,2019.06.23 16:40:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 16:50:00,2019.06.23 16:45:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 16:55:00,2019.06.23 16:50:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:00:00,2019.06.23 16:55:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:05:00,2019.06.23 17:00:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:10:00,2019.06.23 17:05:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:15:00,2019.06.23 17:10:00,,,,,,,,,,,,,,,,1,No,,1
mazeboti,2019.06.23 17:20:00,2019.06.23 17:15:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:25:00,2019.06.23 17:20:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:30:00,2019.06.23 17:25:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:35:00,2019.06.23 17:30:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:40:00,2019.06.23 17:35:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:45:00,2019.06.23 17:40:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:50:00,2019.06.23 17:45:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 17:55:00,2019.06.23 17:50:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:00:00,2019.06.23 17:55:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:05:00,2019.06.23 18:00:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:10:00,2019.06.23 18:05:00,,,,,,,,,,,,,,,,1,No,,1
mazeboti,2019.06.23 18:15:00,2019.06.23 18:10:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:20:00,2019.06.23 18:15:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:25:00,2019.06.23 18:20:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:30:00,2019.06.23 18:25:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:35:00,2019.06.23 18:30:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:40:00,2019.06.23 18:35:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:45:00,2019.06.23 18:40:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:50:00,2019.06.23 18:45:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 18:55:00,2019.06.23 18:50:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 19:00:00,2019.06.23 18:55:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 19:05:00,2019.06.23 19:00:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 19:10:00,2019.06.23 19:05:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 19:15:00,2019.06.23 19:10:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 19:20:00,2019.06.23 19:15:00,,,,,,,,,,,,,,,,2,No,,1
mazeboti,2019.06.23 19:25:00,2019.06.23 19:20:00,,,,,,,,,,,,,,,,1,No,,1
mazeboti,2019.06.23 19:30:00,2019.06.23 19:25:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 19:35:00,2019.06.23 19:30:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 19:40:00,2019.06.23 19:35:00,,,,,,,,,,,,,,,,5,No,,1
mazeboti,2019.06.23 19:45:00,2019.06.23 19:40:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 19:50:00,2019.06.23 19:45:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 19:55:00,2019.06.23 19:50:00,,,,,,,,,,,,,,,,0,No,,1
mazeboti,2019.06.23 20:00:00,2019.06.23 19:55:00,,,,,,,,,,,,,,,,0,No,,1
