id,Acquisition Time,Acquisition Start Time,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Speed,GPS Heading,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Predeployment Data,Error,bout
sara,2019.10.01 14:45:00,2019.10.01 14:40:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 14:50:00,2019.10.01 14:45:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 14:55:00,2019.10.01 14:50:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 15:00:00,2019.10.01 14:55:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 15:05:00,2019.10.01 15:00:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 15:10:00,2019.10.01 15:05:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 15:15:00,2019.10.01 15:10:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 15:20:00,2019.10.01 15:15:00,,,,,,,,,,,,,,,,12,No,,1
sara,2019.10.01 15:25:00,2019.10.01 15:20:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 15:30:00,2019.10.01 15:25:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 15:35:00,2019.10.01 15:30:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 15:40:00,2019.10.01 15:35:00,,,,,,,,,,,,,,,,13,No,,1
sara,2019.10.01 15:45:00,2019.10.01 15:40:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 15:50:00,2019.10.01 15:45:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 15:55:00,2019.10.01 15:50:00,,,,,,,,,,,,,,,,19,No,,1
sara,2019.10.01 16:00:00,2019.10.01 15:55:00,,,,,,,,,,,,,,,,65,No,,1
sara,2019.10.01 16:05:00,2019.10.01 16:00:00,,,,,,,,,,,,,,,,121,No,,1
sara,2019.10.01 16:10:00,2019.10.01 16:05:00,,,,,,,,,,,,,,,,1,No,,1
sara,2019.10.01 16:15:00,2019.10.01 16:10:00,,,,,,,,,,,,,,,,6,No,,1
sara,2019.10.01 16:20:00,2019.10.01 16:15:00,,,,,,,,,,,,,,,,12,No,,1
sara,2019.10.01 16:25:00,2019.10.01 16:20:00,,,,,,,,,,,,,,,,13,No,,1
sara,2019.10.01 16:30:00,2019.10.01 16:25:00,,,,,,,,,,,,,,,,23,No,,1
sara,2019.10.01 16:35:00,2019.10.01 16:30:00,,,,,,,,,,,,,,,,67,No,,1
sara,2019.10.01 16:40:00,2019.10.01 16:35:00,,,,,,,,,,,,,,,,82,No,,1
sara,2019.10.01 16:45:00,2019.10.01 16:40:00,,,,,,,,,,,,,,,,8,No,,1
sara,2019.10.01 16:50:00,2019.10.01 16:45:00,,,,,,,,,,,,,,,,4,No,,1
sara,2019.10.01 16:55:00,2019.10.01 16:50:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 17:00:00,2019.10.01 16:55:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 17:05:00,2019.10.01 17:00:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 17:10:00,2019.10.01 17:05:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 17:15:00,2019.10.01 17:10:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 17:20:00,2019.10.01 17:15:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 17:25:00,2019.10.01 17:20:00,,,,,,,,,,,,,,,,2,No,,1
sara,2019.10.01 17:30:00,2019.10.01 17:25:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 17:35:00,2019.10.01 17:30:00,,,,,,,,,,,,,,,,1,No,,1
sara,2019.10.01 17:40:00,2019.10.01 17:35:00,,,,,,,,,,,,,,,,12,No,,1
sara,2019.10.01 17:45:00,2019.10.01 17:40:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 17:50:00,2019.10.01 17:45:00,,,,,,,,,,,,,,,,0,No,,1
sara,2019.10.01 17:55:00,2019.10.01 17:50:00,,,,,,,,,,,,,,,,8,No,,1
