id,Acquisition Time,Acquisition Start Time,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Speed,GPS Heading,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Predeployment Data,Error,bout
tex,2019.05.22 16:20:00,2019.05.22 16:15:00,,,,,,,,,,,,,,,,143,No,,4
tex,2019.05.22 16:25:00,2019.05.22 16:20:00,,,,,,,,,,,,,,,,21,No,,4
tex,2019.05.22 16:30:00,2019.05.22 16:25:00,,,,,,,,,,,,,,,,9,No,,4
tex,2019.05.22 16:35:00,2019.05.22 16:30:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 16:40:00,2019.05.22 16:35:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 16:45:00,2019.05.22 16:40:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 16:50:00,2019.05.22 16:45:00,,,,,,,,,,,,,,,,1,No,,4
tex,2019.05.22 16:55:00,2019.05.22 16:50:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 17:00:00,2019.05.22 16:55:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 17:05:00,2019.05.22 17:00:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 17:10:00,2019.05.22 17:05:00,,,,,,,,,,,,,,,,1,No,,4
tex,2019.05.22 17:15:00,2019.05.22 17:10:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 17:20:00,2019.05.22 17:15:00,,,,,,,,,,,,,,,,4,No,,4
tex,2019.05.22 17:25:00,2019.05.22 17:20:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 17:30:00,2019.05.22 17:25:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 17:35:00,2019.05.22 17:30:00,,,,,,,,,,,,,,,,4,No,,4
tex,2019.05.22 17:40:00,2019.05.22 17:35:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 17:45:00,2019.05.22 17:40:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 17:50:00,2019.05.22 17:45:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 17:55:00,2019.05.22 17:50:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 18:00:00,2019.05.22 17:55:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 18:05:00,2019.05.22 18:00:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 18:10:00,2019.05.22 18:05:00,,,,,,,,,,,,,,,,3,No,,4
tex,2019.05.22 18:15:00,2019.05.22 18:10:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 18:20:00,2019.05.22 18:15:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 18:25:00,2019.05.22 18:20:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 18:30:00,2019.05.22 18:25:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 18:35:00,2019.05.22 18:30:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 18:40:00,2019.05.22 18:35:00,,,,,,,,,,,,,,,,3,No,,4
tex,2019.05.22 18:45:00,2019.05.22 18:40:00,,,,,,,,,,,,,,,,3,No,,4
tex,2019.05.22 18:50:00,2019.05.22 18:45:00,,,,,,,,,,,,,,,,0,No,,4
tex,2019.05.22 18:55:00,2019.05.22 18:50:00,,,,,,,,,,,,,,,,2,No,,4
tex,2019.05.22 19:00:00,2019.05.22 18:55:00,,,,,,,,,,,,,,,,0,No,,4
