Nome,Data,Hora ,zona,Y,X,Reuse
Amanda,7/8/2018,17:13,21K,7875591,623848,0
Amanda,7/10/2018,11:31,21K,7875755,624418,0
Amanda,7/11/2018,17:48,21K,7876024,623957,0
Amanda,7/12/2018,8:12,21K,7876024,623957,0
Amanda,8/11/2018,17:44,21K,7874384,625070,1
Amanda,8/16/2018,9:20,21K,7875499,625596,1
Amanda,9/11/2018,12:13,21K,625537,7875180,0
Amanda,9/15/2018,10:31,21K,624713,7874111,0
Amanda,9/21/2018,11:11,21K,624844,7876103,0
Amanda,10/4/2018,8:16,21K,624713,7874111,1
Amanda,10/8/2018,13:20,21K,624365,7875711,1
Amanda,11/8/2018,10:47,21K,625364,7875387,1
Amanda,11/13/2018,11:48,21K,625522,7875626,0
Amanda,6/15/2019,8:15,21K,7874069,625321,1
Amanda,6/19/2019,8:15,21K,7874126,624774,0
Amanda,6/20/2019,9:31,21K,7874751,624358,0
Amanda,6/24/2019,9:47,21K,7875916,624571,0
Avelina,5/14/2018,10:30,21K,7873555,628855,0
Blanca,6/18/2019,7:23,21K,,,1
Blanca,6/19/2019,8:53,21K,7874772,625902,1
Blanca,7/9/2019,8:49,21K,7874772,625902,1
Blanca,7/14/2019,11:04,21K,7875710,625756,0
Blanca,7/17/2019,12:33,21K,7875809,626238,
Blanca,7/19/2019,13:00,21K,7875809,626238,
Blanca,7/21/2019,9:01,21K,7875710,625756,1
Blanca,9/27/2019,9:41,21K,7876390,626395,1
Blanca,9/30/2019,11:10,21K,7876332,626362,0
Blanca,9/5/2019,10:12,21K,7876332,626362,0
Blanca,11/6/2019,10:10,21K,7875410,625537,0
Blanca,11/13/2019,16:06,21K,7875246,626644,0
Blanca,11/16/2019,13:02,21K,7875246,626644,0
Blanca,12/10/2019,16:40,21K,7875420,625533,1
Blanca,12/11/2019,14:45,21K,7875879,626210,1
Blanca,12/12/2019,10:00,21K,7875879,626210,1
Blanca,12/13/2019,16:30,21K,7875879,626210,1
Blanca,12/15/2019,12:00,21K,7875879,626210,1
Blanca,12/16/2019,8:00,21K,7875879,626210,1
Blanca,8/24/2019,13:51,21K,7876566,625934,1
